#P	Bytes	Seconds	Trials
8	32	1.86122e-05	12288
8	64	1.87679e-05	12288
8	128	1.88412e-05	12288
8	256	1.93565e-05	12288
8	512	2.11838e-05	12288
8	1024	3.08171e-05	12288
8	2048	3.27119e-05	6144
8	4096	3.59139e-05	6144
8	8192	4.38765e-05	6144
8	16384	6.48457e-05	6144
8	32768	9.02946e-05	3072
8	65536	0.000133621	1536
8	131072	0.000159098	1536
8	262144	0.000243701	1536
8	524288	0.000409229	768
8	1048576	0.000729516	384
8	2097152	0.00137642	192
8	4194304	0.00269337	96
8	8388608	0.00551885	48
8	16777216	0.0113532	24
8	33554432	0.0226887	12
8	67108864	0.0453618	6
8	134217728	0.0906837	3
8	268435456	0.181282	3
8	536870912	0.362439	3
8	1073741824	0.843719	3
