#P	Bytes	Seconds	Trials
4	16	1.16813e-06	196608
4	32	1.24959e-06	196608
4	64	1.28677e-06	196608
4	128	2.54704e-06	98304
4	256	1.76938e-06	196608
4	512	2.40749e-06	98304
4	1024	2.34915e-06	196608
4	2048	3.05627e-06	98304
4	4096	9.54936e-06	24576
4	8192	1.15692e-05	24576
4	16384	2.56598e-05	12288
4	32768	3.55139e-05	6144
4	65536	5.52391e-05	6144
4	131072	9.48855e-05	3072
4	262144	0.000173603	1536
4	524288	0.000331624	768
4	1048576	0.000646875	384
4	2097152	0.00127781	192
4	4194304	0.00253956	96
4	8388608	0.00507194	48
4	16777216	0.0108428	24
4	33554432	0.0217207	12
4	67108864	0.043421	6
4	134217728	0.0868313	3
4	268435456	0.173568	3
4	536870912	0.347283	3
4	1073741824	1.60662	3
