#P	Bytes	Seconds	Trials
4	16	1.75317e-06	196608
4	32	1.86605e-06	196608
4	64	1.94016e-06	196608
4	128	4.27749e-06	49152
4	256	2.25481e-06	98304
4	512	2.34177e-06	98304
4	1024	2.44413e-06	98304
4	2048	4.39852e-06	49152
4	4096	8.4729e-06	24576
4	8192	1.70324e-05	12288
4	16384	3.92883e-05	6144
4	32768	5.37796e-05	6144
4	65536	8.32435e-05	3072
4	131072	0.000142224	1536
4	262144	0.000260346	1536
4	524288	0.000496051	768
4	1048576	0.000968182	384
4	2097152	0.00191088	192
4	4194304	0.0037972	96
4	8388608	0.00758456	48
4	16777216	0.0162221	24
4	33554432	0.0324959	12
4	67108864	0.064965	6
4	134217728	0.12996	3
4	268435456	0.259874	3
4	536870912	0.519379	3
4	1073741824	2.27338	3
