#P	Bytes	Seconds	Trials
2	8	5.61213e-07	393216
2	16	5.67388e-07	393216
2	32	5.96092e-07	393216
2	64	6.10415e-07	393216
2	128	1.10073e-06	196608
2	256	7.65434e-07	393216
2	512	7.91886e-07	393216
2	1024	1.01964e-06	393216
2	2048	1.67673e-06	196608
2	4096	4.02616e-06	98304
2	8192	5.99361e-06	49152
2	16384	1.28227e-05	24576
2	32768	1.77408e-05	12288
2	65536	2.75789e-05	12288
2	131072	4.73163e-05	6144
2	262144	8.6738e-05	3072
2	524288	0.000165596	1536
2	1048576	0.000323325	768
2	2097152	0.000638828	384
2	4194304	0.00126953	192
2	8388608	0.00253576	96
2	16777216	0.00542013	48
2	33554432	0.0108588	24
2	67108864	0.0217122	12
2	134217728	0.0434117	6
2	268435456	0.086837	3
2	536870912	0.17367	3
2	1073741824	0.76338	3
